Activity Type,Date,Title,Distance,Time
Walking,2026-07-05 16:45:41,Easy Walk,3.01,00:34:39
Walking,2026-07-04 11:30:35,Weekend Walk,8.36,01:36:39
Badminton,2026-07-01 19:15:50,Badminton,--,01:15:11
Running,2026-06-30 07:10:37,Morning Run,5.78,00:35:42
Strength Training,2026-06-29 18:30:35,Strength Training,--,00:45:50
Walking,2026-06-28 16:45:34,Easy Walk,5.28,01:01:54
Walking,2026-06-27 11:30:29,Weekend Walk,6.27,01:10:59
Swimming,2026-06-25 20:00:40,Pool Swim,1.80,00:45:16
Kitesurfing,2026-06-24 19:15:31,Kitesurfing,6.20,01:08:39
Running,2026-06-23 07:10:55,Morning Run,5.57,00:35:38
Strength Training,2026-06-22 18:30:14,Strength Training,--,00:44:16
Walking,2026-06-21 16:45:10,Easy Walk,4.45,00:52:19
Cycling,2026-06-20 10:00:42,Weekend Ride,18.88,00:50:30
Snowboarding,2026-06-17 19:15:40,Snowboarding,11.50,02:39:02
Running,2026-06-16 07:10:53,Morning Run,6.95,00:42:10
Strength Training,2026-06-15 18:30:31,Strength Training,--,00:45:41
Walking,2026-06-14 16:45:57,Easy Walk,6.99,01:25:11
Walking,2026-06-13 11:30:36,Weekend Walk,6.03,01:07:59
Martial Arts,2026-06-11 20:00:57,Martial Arts,--,01:00:13
Skiing,2026-06-10 19:15:25,Ski Day,14.20,03:00:25
Running,2026-06-09 07:10:33,Morning Run,9.10,00:56:45
Strength Training,2026-06-08 18:30:42,Strength Training,--,00:44:19
Walking,2026-06-07 16:45:18,Easy Walk,3.80,00:45:09
Walking,2026-06-06 11:30:44,Weekend Walk,7.71,01:28:28
Martial Arts,2026-06-03 19:15:14,Martial Arts,--,00:59:44
Running,2026-06-02 07:10:04,Morning Run,6.98,00:43:00
Strength Training,2026-06-01 18:30:06,Strength Training,--,00:45:31
Walking,2026-05-31 16:45:40,Easy Walk,6.37,01:16:09
Cycling,2026-05-30 10:00:33,Weekend Ride,19.92,00:52:54
Table Tennis,2026-05-28 20:00:50,Table Tennis,--,00:50:13
Dancing,2026-05-27 19:15:30,Dance Class,--,00:59:56
Running,2026-05-26 07:10:41,Morning Run,5.52,00:34:11
Strength Training,2026-05-25 18:30:27,Strength Training,--,00:45:53
Walking,2026-05-24 16:45:04,Easy Walk,5.05,01:00:57
Walking,2026-05-23 11:30:42,Weekend Walk,8.79,01:40:15
Hiking,2026-05-21 20:00:15,Forest Hike,9.40,02:28:36
Soccer,2026-05-20 19:15:31,Football,--,01:10:06
Strength Training,2026-05-18 18:30:42,Strength Training,--,00:43:33
Walking,2026-05-17 16:45:38,Easy Walk,6.99,01:24:22
Cycling,2026-05-16 10:00:59,Weekend Ride,18.35,00:48:18
Badminton,2026-05-14 20:00:24,Badminton,--,01:16:05
Stretching,2026-05-13 19:15:28,Stretching,--,00:26:04
Running,2026-05-12 07:10:44,Morning Run,8.58,00:51:56
Strength Training,2026-05-11 18:30:02,Strength Training,--,00:44:16
Cycling,2026-05-09 10:00:21,Weekend Ride,19.53,00:51:21
Skiing,2026-05-07 20:00:27,Ski Day,14.20,03:00:09
Boxing,2026-05-06 19:15:13,Boxing,--,00:55:26
Strength Training,2026-05-04 18:30:17,Strength Training,--,00:46:08
Walking,2026-05-03 16:45:46,Easy Walk,5.43,01:04:24
Volleyball,2026-04-29 19:15:29,Volleyball,--,01:04:20
Running,2026-04-28 07:10:03,Morning Run,10.56,01:04:28
Strength Training,2026-04-27 18:30:47,Strength Training,--,00:44:06
Cycling,2026-04-25 10:00:30,Weekend Ride,36.55,01:35:28
Volleyball,2026-04-23 20:00:19,Volleyball,--,01:05:25
Table Tennis,2026-04-22 19:15:48,Table Tennis,--,00:51:25
Running,2026-04-21 07:10:58,Morning Run,7.70,00:48:16
Strength Training,2026-04-20 18:30:31,Strength Training,--,00:44:08
Walking,2026-04-19 16:45:33,Easy Walk,4.45,00:53:56
Walking,2026-04-18 11:30:35,Weekend Walk,5.12,00:57:48
Basketball,2026-04-16 20:00:31,Basketball,--,00:59:20
Yoga,2026-04-15 19:15:32,Evening Yoga,--,00:38:50
Running,2026-04-14 07:10:39,Morning Run,7.59,00:47:45
Strength Training,2026-04-13 18:30:53,Strength Training,--,00:43:32
Cycling,2026-04-11 10:00:42,Weekend Ride,29.89,01:19:04
Basketball,2026-04-08 19:15:15,Basketball,--,00:59:23
Running,2026-04-07 07:10:38,Morning Run,11.33,01:10:18
Strength Training,2026-04-06 18:30:30,Strength Training,--,00:44:27
Walking,2026-04-05 16:45:42,Easy Walk,6.59,01:18:51
Snowboarding,2026-04-02 20:00:11,Snowboarding,11.50,02:39:38
Hiking,2026-04-01 19:15:21,Forest Hike,9.40,02:29:57
Running,2026-03-31 07:10:57,Morning Run,7.04,00:44:55
Strength Training,2026-03-30 18:30:31,Strength Training,--,00:43:44
Walking,2026-03-28 11:30:27,Weekend Walk,6.39,01:14:16
Swimming,2026-03-25 19:15:53,Pool Swim,1.80,00:43:53
Strength Training,2026-03-23 18:30:45,Strength Training,--,00:44:04
Walking,2026-03-22 16:45:52,Easy Walk,4.94,00:57:48
Cycling,2026-03-21 10:00:19,Weekend Ride,19.46,00:51:39
Boxing,2026-03-19 20:00:47,Boxing,--,00:56:16
Tennis,2026-03-18 19:15:56,Tennis,--,01:10:47
Running,2026-03-17 07:10:15,Morning Run,7.35,00:46:04
Strength Training,2026-03-16 18:30:57,Strength Training,--,00:45:23
Walking,2026-03-15 16:45:27,Easy Walk,5.93,01:10:29
Walking,2026-03-14 11:30:12,Weekend Walk,6.26,01:11:09
Badminton,2026-03-11 19:15:15,Badminton,--,01:16:23
Running,2026-03-10 07:10:43,Morning Run,5.09,00:30:03
Strength Training,2026-03-09 18:30:10,Strength Training,--,00:45:48
